Categoría,Título,Nota,Grupo
Star Wars,Episodio 4: Una Nueva Esperanza,8.3,Éxito
Star Wars,Episodio 5: El Imperio Contraataca,8.7,Éxito
Star Wars,Episodio 6: El Regreso del Jedi,6.8,Éxito
Star Wars,Episodio 1: La Amenaza Fantasma,5.8,Fracaso
Star Wars,Episodio 2: El Ataque de los Clones,6.6,Éxito
Star Wars,Episodio 3: La Venganza del Sith,7.2,Éxito
X-Men,X-Men,7,Éxito
X-Men,X2: X-Men Unidos,7.4,Éxito
X-Men,X-Men: El Último en Pie,5.9,Fracaso
X-Men,X-Men Orígenes - Wolverine,5.1,Fracaso
X-Men,X-Men: Primera Clase,7.4,Éxito
X-Men,Wolverine,6.3,Éxito
X-Men,X-Men: Días del Futuro Pasado,7.6,Éxito
Tolkien,El Señor de los Anillos: La Comunidad del Anillo,8.2,Éxito
Tolkien,El Señor de los Anillos: Las Dos Torres,8.5,Éxito
Tolkien,El Señor de los Anillos: El Retorno del Rey,8.7,Éxito
Tolkien,El Hobbit: Un Viaje Inesperado,6.6,Éxito
Tolkien,El Hobbit: La Desolación de Smaug,6.8,Éxito
Tolkien,El Hobbit: La Batalla de los Cinco Ejércitos,6.3,Éxito